2025/3/22 上午 12:05:12,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/22 上午 12:05:13,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/22 上午 12:14:07,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Home,Action:Index
2025/3/22 上午 12:14:09,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/22 上午 12:14:09,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/22 上午 12:14:11,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/22 上午 12:14:11,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
2025/3/22 上午 12:14:12,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/22 上午 12:14:13,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/22 上午 12:14:18,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/22 上午 12:14:38,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/22 上午 12:14:40,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/22 上午 12:14:49,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/22 上午 12:17:22,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Home,Action:Index
2025/3/22 上午 12:17:24,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/22 上午 12:17:24,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/22 上午 12:17:27,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/22 上午 12:17:27,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
2025/3/22 上午 12:17:28,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/22 上午 12:17:29,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/22 上午 12:36:25,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Orders,Action:Create
2025/3/22 上午 12:41:48,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Home,Action:Index
2025/3/22 上午 12:42:08,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Cart
2025/3/22 上午 12:42:08,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/22 上午 12:42:10,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/22 上午 12:42:10,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
